date,upper_deck_min,upper_deck_mid,mid_level,lower_bowl
2026-09-18,91.0,146.0,203.0,275.0
2026-09-18 23:00,91.0,146.0,203.0,275.0
2026-09-18 23:00,91.0,146.0,203.0,275.0
2026-09-18 23:00,91.0,146.0,203.0,275.0
2026-09-18 23:00,91.0,146.0,203.0,275.0
2026-09-19 01:00,91.0,146.0,203.0,275.0
2026-09-19 06:00,91.0,146.0,203.0,275.0
2026-09-19 11:00,91.0,146.0,203.0,275.0
2026-09-19 14:00,91.0,146.0,203.0,275.0
2026-09-19 17:00,91.0,146.0,203.0,275.0
2026-09-19 19:00,91.0,146.0,203.0,275.0
2026-09-19 21:00,91.0,146.0,203.0,275.0
2026-09-19 23:00,91.0,146.0,203.0,275.0
2026-09-20 01:00,91.0,146.0,203.0,275.0
2026-09-20 07:00,91.0,146.0,203.0,275.0
2026-09-20 12:00,91.0,146.0,203.0,275.0
2026-09-20 16:00,91.0,146.0,203.0,275.0
2026-09-20 19:00,91.0,146.0,203.0,275.0
2026-09-20 21:00,91.0,146.0,203.0,275.0
2026-09-20 23:00,91.0,146.0,203.0,275.0
2026-09-21 01:00,91.0,146.0,203.0,275.0
2026-09-21 07:00,91.0,146.0,203.0,275.0
2026-09-21 14:00,91.0,146.0,203.0,275.0
2026-09-21 19:00,91.0,146.0,203.0,275.0
2026-09-21 22:00,91.0,146.0,203.0,275.0
2026-09-22 01:00,91.0,146.0,203.0,275.0
2026-09-22 06:00,91.0,146.0,203.0,275.0
2026-09-22 12:00,91.0,146.0,203.0,275.0
2026-09-22 17:00,91.0,146.0,203.0,275.0
2026-09-22 20:00,91.0,146.0,203.0,275.0
2026-09-22 23:00,91.0,146.0,203.0,275.0
2026-09-23 02:00,91.0,146.0,203.0,275.0
2026-09-23 08:00,91.0,146.0,203.0,275.0
2026-09-23 13:00,91.0,146.0,203.0,275.0
2026-09-23 18:00,91.0,146.0,203.0,275.0
2026-09-23 21:00,91.0,146.0,203.0,275.0
2026-09-24 00:00,91.0,146.0,203.0,275.0
2026-09-24 05:00,91.0,146.0,203.0,275.0
